id,name,description,power,mysticism,agility
0,Tiger (Macan Putih),A majestic white tiger that protects its territory,85,90,80
1,Dragon (Naga Emas),A mythical golden serpent representing sovereign power,95,95,75
2,Orange Cat (Kucing Oyen),A chaotic orange feline that ignores the laws of physics,70,85,90
3,Land Crocodile (Buaya Darat),A sweet-talking reptile known for romantic agility,65,40,95
4,Racing Tuyul (Tuyul Balap),A tiny spirit specializing in rapid wealth acquisition,40,80,95
5,Garuda,A legendary divine bird with majestic golden wings,90,90,85
6,Phoenix (Burung Phoenix),A firebird that rises from the ashes of failure,80,95,80
7,Mystic Snake (Ular Sanca),A silent constrictor that senses spiritual vibrations,75,85,70
8,Shadow Monkey (Kera Sakti),A trickster primate with kung-fu adaptability,80,75,95
9,Spirit Bear (Beruang Madu),A heavy protector that loves sweet honey and peace,85,60,60
10,Sea Turtle (Penyu Samudra),An ancient marine voyager carrying ocean wisdom,60,85,40
11,Thunder Goat (Kambing Etawa),A sturdy mountain climber with electric horns,70,50,75
12,Cosmic Owl (Burung Hantu),A nocturnal observer of cosmic timelines,55,95,70
13,Iron Bull (Banteng Merah),A charging force representing raw determination,90,40,65
14,Golden Deer (Kijang Kencana),A graceful forest runner carrying good fortune,65,80,90
15,Shadow Wolf (Serigala Malam),A pack hunter that howls at the full moon,80,70,85
16,Pegasus,A winged horse that flies through spiritual clouds,75,85,85
17,Giant Octopus (Gurita Raksasa),A deep-sea controller with multiple strategies,70,80,60
18,Fire Eagle (Rajawali Api),A high-flying predator with solar vision,85,75,90
19,Ice Mammoth (Gajah Purba),A colossal ancient giant representing timeless resilience,95,50,30
20,White Crocodile (Buaya Putih),A sacred swamp guardian of local folklore,80,90,70
21,Nine-Tailed Fox (Rubah Ekor Sembilan),A master of illusions and charming mystical energies,70,95,90
22,Cerberus,A triple-headed dog that guards boundaries,85,80,75
23,Wind Horse (Kuda Angin),A fast galloper that carries prayers,70,75,95
24,Stone Golem (Golem Batu),A fortress construct of pure earth power,90,50,40
25,Shadow Panther (Macan Kumbang),A stealthy black cat that stalks in silence,80,75,90
26,Celestial Crane (Burung Bangau),A graceful flyer associated with longevity,60,85,75
27,Iron Boar (Celeng Kulit Tembaga),A wild charger with steel-like skin,80,45,70
28,Lightning Falcon (Elang Petir),A high-speed diver surrounded by electric currents,75,80,95
29,Cosmic Jellyfish (Ubur-ubur Bintang),A floating space organism radiating stardust,40,95,60
