id,name,description,financial,romantic,power,mysticism,agility
0,Batu Bata Merah (Red Brick),A silent brick that stays in the corner of a wall protecting your stability.,Locked in a wall. No active income streams but extremely solid and immune to inflation.,Zero chemistry. You are as stiff as a brick but highly loyal.,80,10,5
1,Cosmic Rice Cooker,A kitchen appliance that cooks rice and keeps it warm forever.,Steady warmth. Small bills but your basic needs are always covered.,Always warm and comforting. A bit sticky but loved by everyone.,60,30,40
2,Sendal Swallow Slipper,A legendary local rubber slipper known for its extreme durability.,Highly economical. You spend very little and walk a long path.,Prone to being lost at the mosque. Keep a close eye on your partner.,40,25,90
3,Sapu Lidi (Broom),A bundle of coconut palm sticks used for spiritual and physical cleansing.,Combined strength bring results. Group projects are highly lucrative.,A bit scratchy at first. Needs bundling to stay effective.,50,60,75
4,Gorengan Dingin (Cold Fritter),A deep-fried snack that has lost its heat and crispness.,Low liquidity. Hard to sell. Keep it fresh to attract buyers.,Cold and oily. Needs reheating with some romantic sparks.,30,10,30
5,Kopi Sachet (Sachet Coffee),A quick energy booster for late-night developers and workers.,Cheap and fast cash flow. High volume but low margins.,Sweet and instant but short-lived. Pace yourself for long-term love.,45,40,85
6,Token Listrik (Electricity Token),A digital meter that beeps rapidly when funds are low.,Constant reminders to work. High motivation when balance reaches critical levels.,Beeps when neglected. Needs constant token top-ups of affection.,70,50,60
7,Helm Gojek (Gojek Helmet),A protective green helmet representing active transport and service.,Always on the move. Tips are frequent if service quality stays high.,Always carrying others. Make sure you get some passenger love too.,65,20,90
8,Kipas Angin (Electric Fan),A rotating machine that blows cool air but gets dusty quickly.,Blowing hot and cold air. Good seasons followed by slow months.,Spins in circles. Stop repeating the same dating cycles.,50,15,80
9,Ember Plastik (Plastic Bucket),A sturdy plastic container holding your domestic water supply.,Solid container. You hold on to savings well but watch out for cracks.,Deep emotional capacity. Can hold a lot of dramatic feelings.,55,30,50
10,Wajan Anti Lengket,A non-stick wok that lets everything slide off easily.,Problems slide off you. No debts will stick to your financial name.,Nothing sticks. Hard to get committed. Let someone get close.,60,20,70
11,Indomie Goreng,The legendary instant noodle representing late-night comfort.,Extremely cheap cost of living. Highly efficient cash management.,Instant attraction! Quick and comforting but add some nutrition.,85,30,95
12,Nasi Bungkus (Wrapped Rice),A pack of rice wrapped in banana leaves with hidden side dishes.,Hidden surprises. A small package containing unexpected rich values.,Simple packaging but rich inside. Genuine hearts are found here.,70,40,50
13,Bakso Bulat (Round Meatball),A bouncing meatball that rolls away when you try to fork it.,Hard to pin down. Money bounces around. Keep a firm grip.,Rolls away easily. Don't play hard to get for too long.,65,25,80
14,Kunci Inggris (Monkey Wrench),An adjustable metal tool that fits any size bolt.,Highly versatile. You adapt to any job profile to earn cash.,Adjustable expectations. You fit with almost any personality.,70,30,65
15,Charger Rusak (Broken Charger),A cable that only charges your phone at a specific bent angle.,Extremely unstable income. Requires specific positioning to work.,Low connection. Requires constant adjustment to stay connected.,20,80,40
16,Setrika Panas (Hot Iron),A heavy appliance that smooths wrinkles but burns if neglected.,Pressing issues build pressure. Smooth out conflicts for success.,Very hot temper. Smooth out relationships but avoid burning.,75,10,45
17,Botol Tupperware,A premium plastic bottle that must never be lost at school.,Extremely valuable asset. Your mother will guard your finances.,High standards. Losing this partner will result in massive trouble.,90,30,60
18,Sapu Terbang (Flying Broom),A mystical cleaning tool that carries you through the clouds.,High mobility. Sky-high ideas but make sure you land safely.,A bit unstable. Hang on tight to avoid falling off.,50,90,85
19,Sambal Terasi,A fiery shrimp paste chili that adds explosive flavor to rice.,Spicy returns! High risk high return investments pay off.,Fiery and passionate. Not everyone can handle your spice.,80,70,50
20,Krupuk Kaleng,A crispy white cracker stored in a large blue tin container.,Crispy and light. Easy to break. Don't let your savings crumble.,Loud crunch. You talk a lot but make sure there is substance inside.,40,20,60
