id,name,description,financial,romantic,power,mysticism,agility
0,Red Rose (Mawar Merah),A classic symbol of deep passion with protective thorns.,High value assets. High risk but highly rewarding. Passion drives career.,Intense romance! A passionate connection with protective boundaries.,80,70,60
1,Cosmic Lavender,A soothing purple flower radiating calm cosmic dust.,Peaceful earnings. Low stress side gigs bring constant small flows.,Highly relaxing dates. You soothe stressful minds and build calm love.,50,90,75
2,Golden Sunflower,A bright yellow flower that always follows the sun's energy.,Bright outlook. Follow the market trends to secure golden returns.,Warm and optimistic. You bring sunshine and energy into relationships.,70,60,80
3,Royal Tulip,A elegant spring flower representing structural luxury.,Structured luxury. Budget for high-end experiences without debt.,Elegant romance. You appreciate refined dates and neat planning.,65,55,70
4,Wild Daisy,A simple white flower representing cheerful innocence.,Simple lifestyle saves money. Uncomplicated investments pay off.,Lighthearted and cheerful. You love simple dates and honest talks.,55,45,85
5,Moon Orchid,A rare and delicate orchid representing exotic beauty.,Premium niche jobs pay well. Target high-value specialized tasks.,Exotic and alluring. A rare find. You require delicate care.,60,85,65
6,White Jasmine,A sweet-smelling flower representing pure spiritual vibes.,Honest business brings blessings. Abundance flows through clean deals.,Pure and spiritual love. Deep emotional connection and peace.,50,90,60
7,Sacred Lotus,A divine flower blooming out of muddy swamp waters.,Rising from adversity. You build wealth out of difficult situations.,Spiritual connection. You help your partner grow out of emotional mud.,45,95,50
8,Sakura (Cherry Blossom),A transient pink flower representing fleeting beauty.,Capture opportunities quickly. Profit from fast-changing trends.,Fleeting beauty. Cherish every moment. Pace yourself for long terms.,50,75,90
9,Rafflesia Arnoldii,A massive parasitic flower known for its powerful scent.,You demand attention in business. Large single contracts bring wealth.,A strong personality. You are unforgettable but can be overwhelming.,90,80,30
10,Red Hibiscus (Kembang Sepatu),A tropical flower representing vibrant energetic presence.,Vibrant energy unlocks sales. Good for customer-facing businesses.,Energetic and colorful. You bring tropical passion to dates.,60,50,85
11,Tin Can Marigold,A sturdy orange flower that repels pests naturally.,Natural protection. You repel bad investments and risky contracts.,Sturdy and reliable. You protect your relationship from drama.,65,40,75
12,Dark Dahlia,A mysterious dark flower representing stealthy elegance.,Stealthy investing pays off. Hide your financial plans from competitors.,Mysterious and seductive. You attract partners with dark charm.,75,80,65
13,Sweet Peony,A lush pink flower representing wealth and happy marriage.,Abundance and prosperity. High potential for business growth.,Happy marriage indicators! Sweet, loving, and highly supportive.,70,65,70
