id,name,description,financial,romantic
0,Wood (Kayu),radiates a calm and growing energy. It represents flexibility,Steady growth awaits. Your patience will yield positive financial returns.,Your relationships will bloom slowly but form strong deep-seated roots.
1,Fire (Api),burns with high-octane passion. It represents transformation and raw energy.,Take bold risks now! Dynamic energy will burn through obstacles and unlock wealth.,Passion is intense. Watch out for sudden heat arguments; stay cool.
2,Water (Air),flows smoothly and adapts to any obstacle. It represents emotional depth.,Income will flow smoothly like water. Adapt to new side gigs to increase depth.,You flow with empathy and deep understanding. Compatibility is high with calm souls.
3,Metal (Logam),is rigid and highly structured. It represents focus and strength.,Structure your budget. Steel-hard determination will lead to a highly stable income.,You are protective and solid. Relationships are firm but don't be too stiff.
4,Earth (Tanah),is grounded and stable. It represents fertility and resourcefulness.,A grounded approach brings stability. Invest in real estate or secure savings.,You are reliable and supportive. A solid foundation for long-term love.
5,Cosmos (Kosmik),holds the ancient mystery of stars. It represents infinite potential.,Unexpected windfalls from unknown directions. The stars align for career leaps.,A stellar romance is written in the heavens. A cosmic connection awaits.
6,Wind (Angin),moves swiftly and changes directions. It represents intellectual freedom.,Opportunities come and go quickly. Stay alert and catch the breeze of wealth.,Romance is lighthearted and playful. Keep conversations fresh and breezy.
7,Thunder (Petir),strikes with sudden intensity. It represents raw force and voice.,Sudden financial breakthroughs or rapid career transitions. Ride the storm.,Electric chemistry! Sparks will fly; make sure it doesn't cause short circuits.
8,Light (Cahaya),radiates pure purity and clarity. It represents wisdom.,Your financial paths are clear. Honesty and wisdom bring abundance.,Love is pure and transparent. Truth and open communication strengthen bonds.
9,Shadow (Bayangan),conceals secrets and movements. It represents stealth.,Opportunities lie hidden in the dark. Silence is gold; invest quietly.,Mysterious and alluring. Keep a bit of mystery to fuel romantic attraction.
